,0,1,2,3
"[0.0, 0.0, 80.0, 80.0]",-1.075034002811969,-1.078505825339224,-1.075048991136009,-1.0696035020272838
"[0.0, 80.0, 80.0, 160.0]",-0.6211413393820733,-0.5982223756076586,-0.5996835470099005,-0.6172773368463957
"[0.0, 160.0, 80.0, 240.0]",-0.4870942012680335,-0.4985024975015294,-0.48440500918300305,-0.5015906256133205
"[0.0, 240.0, 80.0, 320.0]",0.0,0.0,0.0,0.0
"[0.0, 320.0, 80.0, 400.0]",-0.27950049975005,-0.24770811677460805,-0.23788324035294847,-0.27950049975005
"[0.0, 400.0, 80.0, 480.0]",-0.2769516025119596,-0.3227389359699511,-0.2768433234299836,-0.2783319723121972
"[0.0, 480.0, 80.0, 560.0]",-0.1256588906041099,-0.14863052073,-0.14982011997,-0.11991455889849802
"[0.0, 560.0, 80.0, 640.0]",-0.14982016073008647,-0.2088667466673,-0.14970029985003,-0.1498152867
"[0.0, 640.0, 80.0, 720.0]",-0.12008931077973001,-0.11901900000000001,-0.11991003,-0.12008448234300001
"[0.0, 720.0, 80.0, 800.0]",-0.12017949027000001,-0.08937300000000001,-0.08991003,-0.08991003
"[0.0, 800.0, 80.0, 880.0]",-0.0602373,-0.07,-0.05997,-0.0896403
"[0.0, 880.0, 80.0, 960.0]",0.0,0.0,0.0,0.0
"[80.0, 0.0, 160.0, 80.0]",-0.3682047916100716,-0.3990326586814558,-0.386586276351157,-0.37183583615288535
"[80.0, 80.0, 160.0, 160.0]",0.0,0.0,0.0,0.0
"[80.0, 160.0, 160.0, 240.0]",-0.38889156880048,-0.3889514189204499,-0.38941063410038634,-0.392394877452408
"[80.0, 240.0, 160.0, 320.0]",0.0,0.0,0.0,0.0
"[80.0, 320.0, 160.0, 400.0]",0.0,0.0,0.0,0.0
"[80.0, 400.0, 160.0, 480.0]",-0.2791356911472028,-0.2626380704578035,-0.24695003505596916,-0.247992311182473
"[80.0, 480.0, 160.0, 560.0]",-0.10383099368523602,-0.119548254,-0.15010693843273396,-0.11974598022916595
"[80.0, 560.0, 160.0, 640.0]",-0.09017949027000001,-0.11901900000000001,-0.11982011997,-0.11982011997
"[80.0, 640.0, 160.0, 720.0]",-0.12017949027000001,-0.11982011997,-0.149812881,-0.11928605457000001
"[80.0, 720.0, 160.0, 800.0]",-0.09044168970000001,-0.08991003,-0.08991003,-0.11982011997
"[80.0, 800.0, 160.0, 880.0]",-0.08991003,-0.08937300000000001,-0.05997,-0.08991003
"[80.0, 880.0, 160.0, 960.0]",-0.0602373,-0.05997,-0.07,-0.08964273
"[160.0, 0.0, 240.0, 80.0]",-0.5944529244937208,-0.5901841492863554,-0.5902919152802271,-0.5969093557476925
"[160.0, 80.0, 240.0, 160.0]",-0.403186170523509,-0.4076492630665554,-0.43856252735164947,-0.41164654801111766
"[160.0, 160.0, 240.0, 240.0]",-0.23543830025973667,-0.2551919996215178,-0.26199954825240185,-0.24171759760625688
"[160.0, 240.0, 240.0, 320.0]",-0.33407427829218955,-0.32919089754216346,-0.3291764096471463,-0.32908038393339556
"[160.0, 320.0, 240.0, 400.0]",0.0,0.0,0.0,0.0
"[160.0, 400.0, 240.0, 480.0]",-0.24950049975005,-0.23572876112208152,-0.20941658461656307,-0.2096960096121692
"[160.0, 480.0, 240.0, 560.0]",-0.09229116714439312,-0.11928366836113173,-0.11984280459180682,-0.11974691980659752
"[160.0, 560.0, 240.0, 640.0]",-0.0901833745384589,-0.11982011997,-0.14982011997,-0.11955308727000001
"[160.0, 640.0, 240.0, 720.0]",-0.09044409540000001,-0.11982011997,-0.1198200981,-0.08991003
"[160.0, 720.0, 240.0, 800.0]",-0.11982011997,-0.08991003,-0.08991726896999999,-0.08991003
"[160.0, 800.0, 240.0, 880.0]",-0.08991005187000001,-0.06050703,-0.08991003,-0.0899076
"[160.0, 880.0, 240.0, 960.0]",-0.08991003,-0.08991003,-0.060239730000000005,-0.090174657
"[240.0, 0.0, 320.0, 80.0]",-0.5666031480989617,-0.5657049524525561,-0.5614303826222525,-0.587157875827445
"[240.0, 80.0, 320.0, 160.0]",-0.37532840072840856,-0.37909956322372484,-0.3776514689604979,-0.376830681570755
"[240.0, 160.0, 320.0, 240.0]",-0.32353013060669367,-0.3290372260896521,-0.32437460193699125,-0.3217127586901091
"[240.0, 240.0, 320.0, 320.0]",-0.3921028599686523,-0.3930321964781072,-0.412369403689837,-0.3986027965027986
"[240.0, 320.0, 320.0, 400.0]",-0.24011227648745662,-0.24969012836402593,-0.25955031992,-0.24183400358712764
"[240.0, 400.0, 320.0, 480.0]",-0.23613525663382845,-0.2635816721881288,-0.23726730681125038,-0.24128259293148263
"[240.0, 480.0, 320.0, 560.0]",-0.09248040692724249,-0.1198200981,-0.11982032433795943,-0.0902661627
"[240.0, 560.0, 320.0, 640.0]",-0.09006904737092343,-0.08991003,-0.11982011997,-0.119548254
"[240.0, 640.0, 320.0, 720.0]",-0.060239730000000005,-0.0896403,-0.060239730000000005,-0.0899076
"[240.0, 720.0, 320.0, 800.0]",-0.05997,-0.08991003,-0.08991003,-0.05997
"[240.0, 800.0, 320.0, 880.0]",-0.05997,-0.08937300000000001,-0.05997243,-0.0896403
"[240.0, 880.0, 320.0, 960.0]",-0.05997,-0.05997,-0.08964273,-0.0896403
"[320.0, 0.0, 400.0, 80.0]",0.0,0.0,0.0,0.0
"[320.0, 80.0, 400.0, 160.0]",-0.38836577411204304,-0.3524941554451941,-0.36162287713249913,-0.3600179263048055
"[320.0, 160.0, 400.0, 240.0]",-0.43393430609319844,-0.428393425453848,-0.4271366860348028,-0.4271041274669904
"[320.0, 240.0, 400.0, 320.0]",0.0,0.0,0.0,0.0
"[320.0, 320.0, 400.0, 400.0]",-0.29925099925029996,-0.26715767534639034,-0.2723007116074119,-0.27649264186153216
"[320.0, 400.0, 400.0, 480.0]",-0.2072242533966165,-0.207154330366047,-0.2042758974426811,-0.20901996844317808
"[320.0, 480.0, 400.0, 560.0]",-0.11214346741242734,-0.11928281619,-0.11955804381762705,-0.11981825400000001
